ID	N1	N2	N3	CA4	CA5	CA6	N7	N8	N9	N10	CA11	CA12	CA13	CA14
NM_173064	21	28	95	112	59	9	124	77	132	53	124	540	199	507
NM_173065	21	27	94	110	63	9	124	80	131	51	125	544	201	506
NM_173073	333	309	561	378	555	407	428	257	792	133	548	579	600	1320
NM_173074	158	234	458	175	8	92	153	122	361	108	230	42	168	421
NM_173075	161	137	365	147	38	106	671	510	1566	244	722	1550	595	2475
NM_173076	6	4	26	37	3	89	58	35	7	156	740	1074	241	1126
NM_173078	64	270	207	6	0	0	160	325	965	94	503	4	1	31
NM_173079	281	264	591	185	38	203	363	284	706	156	377	262	368	857
NM_173081	17	32	112	0	0	0	42	91	121	2	22	0	0	17
NM_173082	74	133	350	97	0	63	847	514	1905	312	890	592	785	1687
NM_173083	36	43	147	114	7	72	85	45	156	64	246	116	264	775
NM_173084	42	41	221	166	6	126	167	102	227	151	292	438	455	746
NM_173086	51	37	261	7036	8472	1425	145	1465	100	7519	19182	77545	22259	968
NM_173087	23	37	72	32	11	83	53	64	123	17	51	61	78	214
NM_173088	27	29	58	24	12	82	32	47	70	9	35	31	55	123
NM_173089	21	24	62	23	9	84	30	36	61	3	27	16	40	97
NM_173090	21	24	62	23	9	84	30	36	61	3	27	16	40	98
NM_173091	65	88	205	35	18	16	380	180	357	118	886	246	355	860
NM_173156	544	487	1158	619	126	660	509	446	1244	265	830	1097	3341	1977
NM_173157	53	439	83	27	64	46	145	48	373	75	1030	186	122	426
NM_173159	62	153	173	10	4	0	74	123	662	30	317	15	3	36
NM_173163	455	387	1137	573	45	692	1224	940	1877	437	1349	1227	1424	4082
NM_173165	455	387	1137	572	45	692	1223	939	1874	434	1349	1225	1419	4079
NM_173170	0	0	2	85	6	5	0	6	0	211	314	161	49	4
NM_173174	259	214	611	207	152	157	1261	474	1040	251	443	2116	2307	3412
NM_173175	254	210	597	191	151	156	1233	466	1005	244	435	2041	2266	3345
NM_173176	256	213	608	200	152	157	1245	470	1021	246	439	2091	2295	3395
NM_173177	135	102	466	164	12	104	112	151	255	102	163	42	141	257
NM_173179	339	324	569	384	562	408	456	275	827	140	552	623	631	1391
NM_173191	7	11	24	2	2	3	22	20	21	4	11	31	26	49
NM_173192	7	11	24	2	2	3	21	20	21	4	11	31	26	48
NM_173193	7	11	22	3	2	3	19	20	21	4	11	29	26	47
NM_173194	7	11	21	2	2	3	16	18	21	5	10	31	20	42
NM_173195	7	11	22	2	2	3	19	20	21	4	11	29	26	47
NM_173199	1	3	8	0	2	0	29	7	42	16	74	13	11	38
NM_173200	57	26	79	15	2	6	63	55	154	64	186	40	42	194
NM_173206	49	65	109	73	5	57	313	271	847	168	404	452	734	888
NM_173207	204	238	654	325	9	337	544	239	766	125	794	552	688	1526
NM_173208	208	242	652	329	15	337	608	277	865	136	910	633	778	1769
NM_173209	204	239	649	324	19	337	542	240	769	129	800	568	707	1541
NM_173210	206	239	661	327	15	342	552	247	769	132	814	570	701	1558
NM_173211	203	238	648	327	9	345	541	240	766	125	797	555	690	1530
NM_173214	241	237	947	173	11	298	2460	1766	4693	1306	2196	1375	1807	4850
NM_173215	42	32	151	30	5	22	1248	852	2247	614	1049	801	807	2385
NM_173216	2512	2339	5416	421	21	256	3810	2551	4154	946	1296	615	485	10527
NM_173217	2331	2145	5022	397	20	252	3169	2115	3370	771	1030	514	394	8580
NM_173341	11	11	26	14	13	29	34	29	89	23	26	62	29	65
NM_173344	778	433	1506	378	79	396	1487	667	1571	443	1438	1898	1551	3110
NM_173348	121	140	355	64	11	40	185	190	597	112	358	244	335	715
NM_173352	0	0	1	18	96	6	2	6	0	803	249	27	37	25
NM_173354	246	709	546	444	529	2862	454	304	1097	158	2475	1543	2467	1926
NM_173359	131	184	559	134	16	26	394	303	840	198	394	169	631	617
NM_173362	15	19	44	15	1	24	22	22	50	4	16	9	12	37
NM_173452	6	22	9	19	10	4	3	2	6	20	6	75	12	39
